experiment,model,feature_tier,split,seed,sample_per_file,data_hash,feature_hash,split_hash,n_train,n_val,n_test,n_features,train_positive_rate,test_positive_rate,status,train_seconds,inference_seconds,model_path,error_type,error_message,f1,macro_f1,balanced_accuracy,mcc,brier_score,ece,auroc,auprc
fullcore_mem_s99,logistic_regression,no_identity,random_stratified,99,,171746c8753403c4,7d2ae6c897c9e461,70b357c6db894459,1706636,365708,365708,117,0.26734992113139533,0.2673499075765365,completed,136.22602470200036,1.1159613729996636,,,,0.9092331544424568,0.9363841814919038,0.9564615244816826,0.8768802267831313,0.03816930550144154,0.03346920431185143,0.9897503222958539,0.9707992854167078
fullcore_mem_s99,hist_gradient_boosting,no_identity,random_stratified,99,,171746c8753403c4,7d2ae6c897c9e461,70b357c6db894459,1706636,365708,365708,117,0.26734992113139533,0.2673499075765365,completed,63.303801526000825,2.478476017000503,,,,0.9992127352847956,0.9994626578391496,0.9995762094453069,0.9989254349129724,0.00036759198514584566,0.0006532522675913584,0.9999660308708358,0.9994783141641096
fullcore_mem_s99,logistic_regression,no_identity,temporal,99,,171746c8753403c4,7d2ae6c897c9e461,b810bedb62f67dc0,1706636,365708,365708,117,0.22634820781935924,0.7020163627812352,completed,174.02397581699915,1.0811411359991325,,,,0.5166871756151964,0.5402045030211835,0.6717269016558369,0.3643249947743282,0.33316732058624043,0.38233921691952305,0.9650448329222076,0.9819841871461155
fullcore_mem_s99,hist_gradient_boosting,no_identity,temporal,99,,171746c8753403c4,7d2ae6c897c9e461,b810bedb62f67dc0,1706636,365708,365708,117,0.22634820781935924,0.7020163627812352,completed,70.36530843900073,2.1964230949997727,,,,0.00186790051873154,0.23062434510131727,0.5004674116689323,0.016695657756324252,0.7000402767897795,0.7007353021109188,0.743778748461507,0.870307266757654
fullcore_mem_s99,logistic_regression,no_identity,day_holdout_2017-07-07,99,,171746c8753403c4,7d2ae6c897c9e461,b7f30cee2aaecfe2,1485336,326050,626666,117,0.2148900989405764,0.4189855521122895,completed,128.2945505890002,2.09148534400083,,,,0.4957229461511909,0.6419177848025216,0.652585758047399,0.3983059484795435,0.22028666588372306,0.23772567362614605,0.925245563797719,0.879411075532502
fullcore_mem_s99,hist_gradient_boosting,no_identity,day_holdout_2017-07-07,99,,171746c8753403c4,7d2ae6c897c9e461,b7f30cee2aaecfe2,1485336,326050,626666,117,0.2148900989405764,0.4189855521122895,completed,52.121187560998806,3.3703063979992294,,,,0.22160899302498815,0.4908191521672386,0.5622481042576253,0.2759016297155482,0.36458903130320913,0.36565052854149444,0.8758711151826797,0.8187774613109272
fullcore_mem_s99,logistic_regression,no_identity,scenario_holdout_Web,99,,171746c8753403c4,7d2ae6c897c9e461,b96020ab6ce77c9d,1702884,373805,361363,117,0.31188912456749845,0.011390208737474506,completed,135.48955542600015,1.1806039760012936,,,,0.003282568036947975,0.4828961384605846,0.47437651296528194,-0.022702936762237814,0.05069815938303811,0.061232546584960114,0.8713625596571958,0.04122692921388502
fullcore_mem_s99,hist_gradient_boosting,no_identity,scenario_holdout_Web,99,,171746c8753403c4,7d2ae6c897c9e461,b96020ab6ce77c9d,1702884,373805,361363,117,0.31188912456749845,0.011390208737474506,completed,72.69610882800043,2.8958172769998782,,,,0.0067243035542747355,0.5004841816089404,0.5016530941482226,0.030442894872287983,0.009959409141342093,0.010406934021778606,0.9744192705651931,0.5039763883422118
fullcore_mem_s99,logistic_regression,no_identity,endpoint_pair_holdout,99,,171746c8753403c4,7d2ae6c897c9e461,cad9f8afa02fb37b,1782463,210378,445211,117,0.32215367163301567,0.0882368135558196,completed,187.1508889609995,1.456006159000026,,,,0.8113492702622203,0.8949834765148528,0.9500807080891536,0.7991997672711104,0.028911267571708567,0.03031065018727059,0.9872265569198838,0.8558311264777396
fullcore_mem_s99,hist_gradient_boosting,no_identity,endpoint_pair_holdout,99,,171746c8753403c4,7d2ae6c897c9e461,cad9f8afa02fb37b,1782463,210378,445211,117,0.32215367163301567,0.0882368135558196,completed,70.41303637599958,2.8914249219997146,,,,0.9827846728054656,0.9905725241292882,0.9841604209081583,0.9812723412068576,0.0029301682624253986,0.0027654543951360425,0.9934932965111325,0.9779865577973841
fullcore_mem_s99,logistic_regression,deployment_safe,random_stratified,99,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,365708,115,0.26734992113139533,0.2673499075765365,completed,189.03565621500093,1.1766562600005273,,,,0.9057906987791554,0.9338592853012393,0.9550892129206499,0.872327669240124,0.038922814685903466,0.03407581212840107,0.9896877946935337,0.9703074452409632
fullcore_mem_s99,hist_gradient_boosting,deployment_safe,random_stratified,99,,171746c8753403c4,411d47df062d3116,70b357c6db894459,1706636,365708,365708,115,0.26734992113139533,0.2673499075765365,completed,71.04596845499873,3.211076368999784,,,,0.9937806237788848,0.995755767629154,0.9957139043772476,0.9915115516438047,0.002188675327491781,0.0010986624303064643,0.9999211367331445,0.9997793909176558
fullcore_mem_s99,logistic_regression,deployment_safe,temporal,99,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,365708,115,0.22634820781935924,0.7020163627812352,completed,195.6838054639993,1.1015751859995362,,,,0.5162742831445645,0.5399385610079928,0.671566211800535,0.3641279196984426,0.3484404785581218,0.3946256689557285,0.9675933535493974,0.9831765982945027
fullcore_mem_s99,hist_gradient_boosting,deployment_safe,temporal,99,,171746c8753403c4,411d47df062d3116,b810bedb62f67dc0,1706636,365708,365708,115,0.22634820781935924,0.7020163627812352,completed,72.48301303399967,2.7029783010002575,,,,0.00023367852844841352,0.22970561253648836,0.5000584264586165,0.005901111245299394,0.6976387003041417,0.6995044712922435,0.8202665958246862,0.9004950181096336
fullcore_mem_s99,logistic_regression,deployment_safe,day_holdout_2017-07-07,99,,171746c8753403c4,411d47df062d3116,b7f30cee2aaecfe2,1485336,326050,626666,115,0.2148900989405764,0.4189855521122895,completed,167.01893870999993,1.972730137000326,,,,0.49310936521983123,0.6401304129958748,0.6510924770199,0.3946503892148055,0.23357840730312715,0.251560415566714,0.9232763573455081,0.8738543344675224
fullcore_mem_s99,hist_gradient_boosting,deployment_safe,day_holdout_2017-07-07,99,,171746c8753403c4,411d47df062d3116,b7f30cee2aaecfe2,1485336,326050,626666,115,0.2148900989405764,0.4189855521122895,completed,50.880147335999936,3.7320920940001088,,,,0.0006624079671689293,0.3678409500705129,0.5001285963706086,0.00940928977418612,0.4039604813614279,0.41075949480639823,0.8126708221418044,0.7649184881948734
fullcore_mem_s99,logistic_regression,deployment_safe,scenario_holdout_Web,99,,171746c8753403c4,411d47df062d3116,b96020ab6ce77c9d,1702884,373805,361363,115,0.31188912456749845,0.011390208737474506,completed,133.2764759900001,1.1608610869989207,,,,0.005134501618484206,0.48335403069970684,0.47662238527979933,-0.02042263341808572,0.051799073569517344,0.060934102511136984,0.868602852143009,0.04053108165064728
fullcore_mem_s99,hist_gradient_boosting,deployment_safe,scenario_holdout_Web,99,,171746c8753403c4,411d47df062d3116,b96020ab6ce77c9d,1702884,373805,361363,115,0.31188912456749845,0.011390208737474506,completed,62.612934951999705,2.4334701920015505,,,,0.0020230629172567267,0.4975752561497955,0.4994569212869228,-0.002412057637498927,0.012120130225152124,0.012549360238523731,0.9555093748268446,0.21378514576203894
fullcore_mem_s99,logistic_regression,deployment_safe,endpoint_pair_holdout,99,,171746c8753403c4,411d47df062d3116,cad9f8afa02fb37b,1782463,210378,445211,115,0.32215367163301567,0.0882368135558196,completed,159.47274622999976,1.4343918900012795,,,,0.8080998868914927,0.893119310275919,0.9498499557167641,0.7960087264362982,0.029688171731702483,0.031774202313128386,0.9876063761094636,0.8558331526633861
fullcore_mem_s99,hist_gradient_boosting,deployment_safe,endpoint_pair_holdout,99,,171746c8753403c4,411d47df062d3116,cad9f8afa02fb37b,1782463,210378,445211,115,0.32215367163301567,0.0882368135558196,completed,75.86840976799976,3.1931136599996535,,,,0.9685513463228074,0.9827787960627623,0.9762744925485818,0.9656911507295777,0.004622722044012611,0.0034447930921357975,0.9954892624727479,0.9808283760627149
